seat,held,held_name
ID-02,R,Mike Simpson
IL-12,R,Mike Bost
IL-15,R,John Shimkus
IL-16,R,Adam Kinzinger
IL-18,R,Darin LaHood
IN-02,R,Jackie Walorski
IN-03,R,Jim  Banks
IN-04,R,Jim Baird
IN-06,R,Greg Pence
IN-08,R,Larry Bucshon
IN-09,R,Trey  Hollingsworth
KS-01,R,Roger Marshall
KS-04,R,Ron Estes
KY-01,R,James Comer
KY-02,R,Brett Guthrie
KY-04,R,Thomas Massie
KY-05,R,Harold Rogers
LA-01,R,Steve Scalise
LA-03,R,Clay  Higgins
LA-04,R,Mike Johnson
LA-05,R,Ralph Abraham
LA-06,R,Garret Graves
MD-01,R,Andy Harris
MI-01,R,Jack  Bergman
MI-02,R,Bill Huizenga
MI-04,R,John Moolenaar
MI-07,R,Tim Walberg
MI-10,R,Paul Mitchell
MN-06,R,Tom Emmer
MN-08,R,Pete Stauber
MO-03,R,Blaine Luetkemeyer
MO-04,R,Vicky Hartzler
MO-06,R,Sam Graves
MO-07,R,Billy Long
MO-08,R,Jason Smith
MS-01,R,Trent Kelly
MS-03,R,Michael Guest
MS-04,R,Steven Palazzo
NC-03,R,Greg Murphy
NC-05,R,Virginia Foxx
NC-07,R,David Rouzer
NC-10,R,Patrick McHenry
NC-13,R,Ted  Budd
ND-00,R,Kelly Armstrong
NE-01,R,Jeff Fortenberry
NE-03,R,Adrian Smith
NJ-04,R,Christopher Smith
NV-02,R,Mark Amodei
NY-21,R,Elise Stefanik
NY-23,R,Tom Reed
NY-27,R,Vacant
OH-02,R,Brad Wenstrup
OH-04,R,Jim Jordan
OH-05,R,Robert Latta
OH-06,R,Bill Johnson
OH-07,R,Bob Gibbs
OH-08,R,Warren  Davidson
OH-14,R,David Joyce
OH-15,R,Steve Stivers
OH-16,R,Anthony Gonzales
OK-01,R,Kevin Hern
OK-02,R,Markwayne Mullin
OK-03,R,Frank Lucas
OK-04,R,Tom Cole
OR-02,R,Greg Walden
PA-09,R,Dan Meuser
PA-11,R,Lloyd  Smucker
PA-12,R,Fred  Keller
PA-13,R,John Joyce
PA-14,R,Guy Reschenthaler
PA-15,R,Glenn Thompson
SC-02,R,Joe Wilson
SC-03,R,Jeff Duncan
SC-04,R,William Timmons
SC-05,R,Ralph Norman
SC-07,R,Tom Rice
SD-00,R,Dusty Johnson
TN-01,R,David Roe
TN-02,R,Tim Burchett
TN-03,R,Charles Fleischmann
TN-04,R,Scott DesJarlais
TN-06,R,John  Rose
TN-07,R,Mark Green
TN-08,R,David  Kustoff
TX-01,R,Louie Gohmert
TX-04,Q,
TX-05,R,Lance Gooden
TX-08,R,Kevin Brady
TX-11,R,Mike Conaway
TX-12,R,Kay Granger
TX-13,R,Mac Thornberry
TX-14,R,Randy Weber
TX-17,R,Bill Flores
TX-19,R,Jodey  Arrington
TX-26,R,Michael Burgess
TX-27,R,Michael Cloud
TX-36,R,Brian Babin
UT-01,R,Rob Bishop
UT-02,R,Chris Stewart
UT-03,R,John Curtis
VA-01,R,Robert Wittman
VA-06,R,Ben Cline
VA-09,R,Morgan Griffith
WA-04,R,Dan Newhouse
WA-05,R,Cathy McMorris Rodgers
WI-01,R,Bryan Steil
WI-05,R,Jim Sensenbrenner
WI-06,R,Glenn Grothman
WI-07,R,Vacant
WI-08,R,Mike  Gallagher
WV-01,R,David McKinley
WV-02,R,Alex Mooney
WV-03,R,Carol Miller
WY-00,R,Liz Cheney
